Read	ReadCov:RAW	ReadCov:PHMM
02aaeff3-3c3b-4375-b80b-93a2990c7f13	87.538	99.488
02acad63-b8d5-4a96-8e86-eb4b3584e1fe	82.452	98.734
02b11ebc-ca84-46ad-8aa0-4649a5bfb575	79.152	99.090
02b18aec-f7e8-410c-bdbe-9e77f585fa4a	76.422	98.569
02b92dc1-4a63-4b4f-a0ae-9eca6bc19da9	86.309	99.907
02bb7261-6bd4-4b73-b2dd-f8ae2fa41983	77.807	99.315
02bc6d9b-dddb-4975-a253-f8a6b9d716d8	74	95.572
02bf2c23-fcaf-4934-82a4-ce8dcdf1fdf8	72.466	98.148
02bf81d1-0e12-4c32-bb2b-080841b818ae	72.771	98.704
02c21182-c47f-4b82-9046-12f12eaf5688	77.191	99.641
02c77a2f-f4fd-4fff-801d-bb6520e5c96c	81.799	98.581
02cb7dcd-c243-4c08-9af6-c12e1fc81ff1	84.053	99.686
02cc0180-2331-4a10-9e53-2ee60146d26c	85.434	98.398
02ce0539-cfc3-4c48-b8fe-67ad85aa7fc2	75.160	99.787
02cef470-e6ef-4e00-814c-94c457ec9d63	80.592	99.621
02d305c0-1457-4e0b-a527-c8cf59c8819e	76.923	99.115
02dbf9a5-a6ec-48b7-9691-faf2c49af79c	77.548	98.427
02dc3a69-a494-4201-a323-41f31dd80598	86.842	99.817
02e72827-7877-48d2-a5af-81b347af85c5	82.489	99.232
02eaa49d-ce61-40e8-bc34-0ab68bba77f9	75.788	99.348
02ed4776-fe34-471f-92ce-51028563514e	91.290	99.341
02f1dc6c-3f44-4740-83dc-ef16a49818d8	78.235	98.326
02fb504c-444c-4bc5-baf2-8875cecca20b	79.647	98.490
02fb8756-3a70-42ab-a463-ee8fd2471eae	76.381	96.848
02fed25b-37ca-4095-9853-0642c08a73e6	75.758	98.753
02ffed0a-a0b4-4f4e-85ca-215e414c2e4d	77.658	98.791
030643ad-694c-4da9-a030-8672cfe471b7	82.192	98.609
0307aac6-a47b-44b9-8d8e-54aa918ae7ce	75.491	99.653
03095a26-3935-44e0-9f54-5748bb904258	65.187	99.643
