Read	RefCov
112:1391|52d235db-dd32-41d9-8b17-1289df47155d	99.846
110:1395|9515eb2d-8790-4246-86d1-78a838b2ee9b	100
116:1388|b4103a5d-55f4-40f8-b9ce-c493a3ff541a	99.846
120:1390|b4ca1dcb-a03d-48df-b520-50a76e9aa64b	99.308
114:1399|d1c716d4-e137-455a-a3fb-23a49b9042c7	99.846
106:1390|0b2209d2-0336-489d-bbe4-34f6386447e8	99.846
111:1406|1049d993-6679-4827-bae9-63edc998b0ba	99.923
33:1352|4313bd21-f2e3-4b1f-b5a2-f9f226a0cad1	99.769
105:1386|50e8c814-2a17-4f06-891a-ef4d58d5594e	99.769
102:1396|ed15f3f8-e89a-43de-b508-f54e1a688f7d	99.846
108:1400|38d09db8-ff02-4f5e-b31e-7e23bd10a741	99.923
112:1399|aa6075c1-868c-44e5-940c-43c9b1dd66bf	99.615
114:1401|99c44018-cc48-4f1f-a9a0-769e09b597a2	99.769
102:1388|40987a54-d751-47c5-a0d3-bb364aea9f03	99.846
111:1391|2861ba6f-f49b-4979-8007-19abec894b86	99.846
107:1369|7274ed3b-ca70-4192-97a7-60e99496733c	99.923
108:1387|13001764-26ed-40f5-a96e-cec983d359b7	99.769
109:1335|988e5b0b-34cb-4543-94b6-0c91f9166fb0	99.923
112:1405|34d6ffc2-68b8-456b-8ea2-f171b6262d22	99.692
111:1386|e59297bc-07ac-4074-a6ce-fc26b426f997	99.385
110:1406|d8121cba-5527-4885-bdcc-8f26adc96010	99.692
106:1368|b71ca9df-c1a0-46a4-b7b1-2466e99e6146	99.846
116:1394|543af2ac-0d10-4370-97b8-bcc02134c926	99.923
107:1406|725f8c7d-35f8-46dc-9de4-f1d83bc3d2d3	99.923
98:1375|a2e9405f-8fbc-4899-90b2-1049c06f898f	99.846
109:1402|af613bf0-70da-43c9-bb73-ccf385696f53	99.923
109:1412|f9f06784-5423-416c-859f-e5058c262866	99.846
108:1399|cb4541e3-136e-499e-ac35-bfa66bd07fbd	99.692
103:1392|33b20f67-70ec-4109-a63c-5cd05735bab9	99.692
109:1420|ce6ef730-b512-4ee8-9f1b-5f50a9c0ec9e	99.923
105:1377|d88ab8a6-8e9c-4263-bc86-ac167fe1938e	99.846
105:1400|b706ef56-c68c-41b1-a7b5-cd28f6486ebe	99.615
107:1395|b45a0ddb-bf87-4afd-8979-0c94b15fce4c	99.923
105:1361|45f425ef-1654-4613-9431-f6803032f66e	99.923
106:1377|761bdba5-9e9f-478b-b852-81a60d4620c6	99.846
105:1438|53f91652-9452-4391-b03e-427473b40644	99.692
100:1376|fa286a5d-d1b0-4171-a799-0588b6cb69ab	99.846
107:1357|e4123495-9bcb-495e-940e-8f1c1cea4813	99.692
119:1414|d10b3e81-9998-4642-ba6e-810ca48a3aaa	99.846
107:1377|4436efd0-310f-49bf-bd6b-dcc3ff8a1908	99.846
910:2228|3d735c09-f51d-4469-b3f7-c764be933e4b	98.462
113:1421|5a197046-4319-4f9d-9db3-044cb3c1c9ef	99.846
118:1427|78b43774-5ecc-4904-8128-14a0b220eaf5	99.846
106:1398|d9403b51-607d-4240-9d36-9c5e6a24c492	99.692
113:1396|f159ee40-f119-4c5b-bfde-5f5c050afbdd	99.769
106:1381|46ffd06c-f9b4-4bef-9fd2-ffbdc1f5e900	99.846
112:1396|5394718d-5082-41d7-98f4-3e7dd184851a	99.846
107:1412|f6a1ee17-a7c4-4bf9-aafc-d94d6a397a1c	99.769
114:1426|b1026d85-6a2e-48f9-86b8-ff562be79aab	99.769
118:1402|69998907-fe70-4e58-9fe1-2853798420f5	99.769
107:1385|18d3cfc3-d959-4c03-9d72-ad883d65cc73	99.769
103:1397|89f942b3-00f2-41dd-b928-00ff1a3bc0bc	99.769
100:1383|bafcf559-b1dd-4a77-b772-027f72507c13	99.692
109:1341|3b5004c0-7c0c-47f1-8c4a-f9ed2f8e26bd	99.769
114:1382|572a19f1-5211-439f-bb53-77aa3c8524fb	99.769
126:1413|6c698a71-0818-42d5-a777-26cee08f7a92	99.385
108:1397|a6ac33ca-70c7-4b8f-be88-54d195443ce7	98.077
113:1424|3a2f098d-5a3d-42eb-b674-8100839dc9a8	99.692
111:1385|f1a81a55-1872-4062-a8b2-013e75ad1ace	99.462
113:1395|7fce8d26-daf0-46a8-897b-c2f6ad0c465f	99.692
106:1405|8a5e411c-93de-4203-aa34-f8512ccc2965	99.692
116:1418|c13f23e0-5367-4edc-8bcc-fe95fccee75f	99.692
111:1415|55e2d12d-3c27-40d3-b56a-47b484be8de1	99.385
115:1432|239bf8b4-8bb2-48d2-8de6-e8da770dccf2	99.692
110:1394|9f5665f5-c7ed-45de-ab6f-ff6f025242f2	99.385
115:1397|13f5ea97-3d02-4a6b-a94c-02472f94a576	99.538
113:1392|cc07d362-dfe9-42ca-b635-94242e6a93f3	99.231
103:1346|c01ad91b-2e40-4cd5-8379-d26387ca58f3	99.615
104:1399|8a350837-18cc-47d6-ad86-1ba65f11608e	99.615
106:1371|d33b60c6-57b5-4bee-b3c8-a0b371462d68	99.615
105:1394|f34608b0-5715-4d38-b41a-eed7a747ca38	99
101:1369|d184c3b1-36d1-4375-bba9-181f33616bc0	99.462
