Read	RefCov
e5bb170f-a01e-4539-be3f-d342afd4ba6f	99.769
93dc030c-846b-48bb-bad5-c83b70716c91	99.846
721f4ae3-f1b0-43c2-b538-ae3055a3eb61	99.923
b03759c5-a3e0-4109-aa8e-6678d7db2c89	99.769
60f0afb3-bf24-4337-9972-d60ad222a863	100
baa92280-44f4-4892-8de1-034d0de3e40c	100
88c02fbc-1938-4929-993e-ed35c13374f5	99.769
63bcee52-e112-422e-aff7-377414764b1b	99.923
d012bc56-30dd-4995-ae3d-9b988b452fd1	99.308
8f3b41d6-4df6-4b09-828c-19b6ae77b174	99.846
f15f5be2-1d2b-442f-8822-7f5051782a23	100
3006aa44-91e4-407e-8a9a-a49e617c0977	99.846
c3928956-a93a-4eef-8f14-ffcf1567bcd5	100
25a815b4-15c4-47e4-9622-5150f073c2d6	100
36f14a71-d2f5-4dfd-99b3-35fd362f2433	99.923
6d4c0cf5-55f4-4c5a-84b7-c0bacced2e14	100
6df6cb54-eaf0-4bd0-9577-e2a4e3434c7d	97.923
b849dc43-756d-426b-a4f2-cac51958da07	100
501f699a-d7e6-4ad7-a8b9-a79764c5a179	99.923
69091850-214c-4b43-9246-dbcb2c3040d2	99.923
88eb9547-c902-446a-9136-3642501ade53	100
1f63803b-0db3-40ed-9018-a16d5b90b0eb	99.923
8a3e0a32-4ff2-4c1a-a000-c670c841b1fa	100
ceccbb45-ca66-4ed7-b46a-f88976bd1d36	100
53a010df-f333-4735-8b60-515a846bb48f	99.769
32b6a008-0613-4c47-80f0-1586c014d7fc	100
9332b727-df96-4bc6-ba2f-cc1e4224a7f0	99.846
0683735f-a196-40ff-a42e-f23075dd8e23	99.077
c467d241-6957-4679-91d6-e21d14853950	99.846
19cf0de3-c863-4ff9-b79f-0c8f7032f692	99.846
a9bae64b-57e5-4c9b-bee5-68bdc27d9be9	100
6da36a6b-fff2-46cc-9493-4e13ea673d9e	99.769
30fa0d63-88d3-47fc-b2bb-51b13636c4a8	99.846
fa1974f9-1d48-4b2e-a9fc-832687877f19	100
cf2e9c0b-4e24-4428-a13b-a4b5b43f6cc7	100
ab822ce6-dd78-419e-9ad4-d78569d5e2f9	99.846
2fce96bc-d8ae-4aeb-ab21-458b73f69a1e	100
8e9db535-bd68-495d-8d83-c9e8f87ca7ba	100
67b7dcef-65d2-4ba6-babe-856ef95a5f71	99.846
5fe256a9-2df3-461f-9fac-c1a8b6111d84	99.923
9bc2c2d8-abaf-49a9-ae67-c85a408b25eb	99.077
83899586-db4b-4a9f-9748-df71e8ed43ad	100
06102821-7bcb-4097-bbdb-54c7477d1aa2	99.846
c42ede89-3500-4f15-9cd7-283f26bbb759	100
592eb206-e15d-4cf9-a961-16f3aea32a89	100
a4980034-bae2-4203-85d4-3847defbb745	99.846
e03f8e46-9d86-4301-b146-5962e948d1ce	99.692
c602ca8c-ee3d-46db-8f58-47dad6dfe003	99.846
e36813c8-51ea-44da-904f-088a260b8353	99.923
2c09abd8-b1a9-4389-9824-117ea210e11e	99.846
7327aba1-33b7-4c81-820c-1924f0524388	99.077
2d5a9d17-5346-44ec-b26a-5fabd0f72479	99.923
6c85ec37-e5ce-4d41-928e-a85a0437a1b3	99.692
1c8e41a1-7982-4e07-8d05-c881716b5161	100
2e7f7dee-af60-4ce2-9e69-dd6aeda51d05	99.846
01c25253-5231-4d91-b26a-6fa3d1f408ac	99.154
ec60e5ca-cb66-42cc-8a7f-5f413ac721bb	99.923
fb257722-556e-4661-abb9-c466ae35dc2a	56.231
f700e77c-ed52-440e-81b5-dbc93fedd12e	99.846
4a9d1ef6-44bc-492d-873f-e8e8332e70ba	99.846
88f61a05-db6d-4d47-b3e1-e5aa7f6741ce	100
671e6cf6-e001-4ca4-b98f-d22b4eed9208	99.846
cc9f4849-09c5-4f7f-8aa0-268f3379e2b6	99.769
95dd86f6-7b7f-45b1-a3fd-3eb311ce4ab7	100
0a5dde8c-6ddc-4592-b6fd-2ca9f0c6ae26	99.923
3d0e8779-70c3-4f64-b66e-1e7dfd9515ff	99.923
dd0be579-af22-446c-9024-5fe59581c32d	100
6dc3bb08-8181-4571-b544-b93e5c016790	99.308
b2ddb479-2ab3-43c9-a4a8-c91c61b8652c	99.846
4011ccf9-ee2f-4c91-991e-5d6692c5809e	100
413e6401-de90-4be4-8b94-7dc0ea421fb2	100
88352877-9c78-4a77-bdf8-a0d2c38777e5	99.692
70ab36b6-03f5-46c0-8ff3-54b0d4163420	100
f4535eb3-af15-4a3a-82d4-dfe0ed5c6211	99.923
8acfbf9e-8065-4237-80ba-8dfdd88f1f74	100
03d75c59-4c7f-4033-bbe0-e8ef8f6a80ae	99.923
1cf812c7-3736-4933-b84a-868755ff3ba2	97.538
4a59b18b-6ed9-4e68-8c8e-0fc464c2c761	100
6323afb5-c992-4e03-812a-335d48da5c08	100
ae164899-67fc-4c75-9650-67745ea5acf2	99.846
416487f1-b750-4309-b0f0-45c82cd9bba6	100
ed9323e8-34fa-41dd-8d89-2092a2ef4b49	100
bcdc6c0f-a395-45ea-85cd-4e3ffd9df8b0	100
